time(ms),ax,ay,az,gx,gy,gz,temp
21641,0.1132812500,-0.0097656250,0.9628906250,7.4732823372,-1.7862595320,3.5572519302,26.2711772919
21866,0.1728515625,0.0126953125,0.9677734375,-1.1068701744,-4.1984734535,-15.9923667908,26.3182353973
22090,-0.0429687500,-0.0043945312,1.0444335938,0.0916030556,-0.7633587718,-28.7099227905,26.3182353973
22311,0.0092773438,0.0390625000,0.9692382813,4.3664121628,-3.5190839767,-7.4351143837,26.2711772919
22533,-0.0703125000,-0.0029296875,1.0234375000,-8.0992364883,5.7786259651,1.4961831570,26.3652935028
22756,-0.0341796875,-0.0141601563,1.0493164063,9.4198474884,12.8320608139,15.8702287674,26.3182353973
22980,0.0693359375,-0.0615234375,0.9501953125,-8.3511447906,0.9541984797,24.2900772095,26.3182353973
23201,0.1030273438,0.0205078125,1.0317382813,-0.2900763452,7.0229005814,-1.1526718140,26.2711772919
23426,0.1904296875,-0.0151367188,1.0209960938,11.5801525116,-10.6183204651,-10.1603050232,26.3182353973
23649,0.1210937500,-0.0078125000,0.9716796875,-7.2595419884,0.5877862573,-22.8778629303,26.2241172791
23873,0.0180664063,0.0000000000,0.9965820313,-4.9465646744,-10.0229005814,-21.1603050232,26.1770591736
24097,-0.0502929687,0.0307617187,0.9902343750,-8.5725193024,5.8625955582,-9.6870231628,26.2711772919
24321,-0.0971679688,-0.0400390625,0.9760742188,-5.3206105232,19.0687026978,20.6030540466,26.3182353973
24544,0.0815429688,-0.0317382812,0.9658203125,-0.9160305262,-0.6259542108,24.0534343719,26.2711772919
24767,0.1406250000,-0.0532226562,1.0170898438,-3.7099237442,-14.4656486511,6.4732823372,26.2711772919
24989,0.1083984375,-0.0517578125,0.9799804688,8.1297712326,2.6412212849,-23.1068706512,26.2241172791
25214,0.0209960937,-0.0781250000,0.9833984375,3.2671756744,-31.1832065582,11.8167934418,26.2241172791
25436,0.0947265625,0.0605468750,1.0747070313,32.7404594421,-22.4274806976,3.1908397675,26.2711772919
25657,0.1328125000,-0.0209960937,0.9956054688,9.0381679535,4.4656486511,-2.0305342674,26.2711772919
25879,0.0146484375,0.0434570312,0.9477539063,-3.8091602325,-6.1526718140,-7.0534353256,26.3182353973
26101,0.0659179688,0.0639648438,0.9257812500,13.1679391861,-9.4351148605,-5.1450381279,26.3182353973
26324,0.0551757812,0.0722656250,1.0019531250,-1.5267175436,2.0610687733,-2.0610687733,26.3182353973
26547,-0.0014648437,-0.0112304688,0.9873046875,0.0229007639,-0.6106870174,-7.9847326279,26.2711772919
26767,0.0366210937,0.0361328125,0.9921875000,-0.0152671756,0.0458015278,0.0381679386,26.3182353973
26989,0.0336914062,0.0439453125,0.9760742188,-0.0381679386,-0.0229007639,-0.0305343512,26.3182353973
27208,0.0317382812,0.0493164062,0.9892578125,0.0763358772,0.1297709942,0.0534351133,26.2711772919
27429,0.0258789062,0.0375976562,1.0014648438,0.0381679386,0.1068702266,0.0610687025,26.1770591736
27648,0.0332031250,0.0092773438,0.9790039063,0.0610687025,0.1297709942,0.0305343512,26.2241172791
27867,0.0332031250,0.0415039062,0.9843750000,0.1679389328,-0.0534351133,0.0610687025,26.3182353973
28088,0.0297851563,0.0380859375,0.9843750000,-0.0839694664,-0.0534351133,0.2290076315,26.2241172791
28307,0.0332031250,0.0351562500,0.9848632813,0.1908396930,0.0076335878,0.1145038158,26.2711772919
28531,0.0307617187,0.0415039062,0.9804687500,-0.2061068714,-0.1068702266,-0.0610687025,26.2711772919
28751,0.0332031250,0.0483398437,0.9868164063,-0.1908396930,0.1221374050,0.0763358772,26.3652935028
28973,0.0302734375,0.0288085938,0.9892578125,-0.1145038158,-0.1450381726,-0.0305343512,26.2711772919
29193,0.0336914062,0.0380859375,0.9873046875,-0.1679389328,0.0534351133,0.1068702266,26.3182353973
29414,0.0273437500,0.0439453125,0.9863281250,-0.1297709942,-0.0916030556,0.0152671756,26.3182353973
29633,0.0219726562,0.0478515625,0.9941406250,0.0992366448,0.0381679386,0.0916030556,26.2711772919
29856,0.0234375000,0.0405273437,0.9931640625,-0.0381679386,0.1374045759,-0.0305343512,26.2711772919
30078,0.0268554687,0.0444335937,0.9887695313,-0.0381679386,-0.0152671756,-0.0992366448,26.2711772919
30298,0.0249023437,0.0312500000,0.9946289063,0.0000000000,0.0152671756,-0.0992366448,26.3182353973
30520,0.0283203125,0.0395507813,0.9926757813,-0.1221374050,-0.1068702266,-0.0305343512,26.2241172791
30742,0.0288085938,0.0463867187,0.9916992188,-0.0763358772,-0.0076335878,-0.1145038158,26.3182353973
30963,0.0239257812,0.0288085938,0.9838867188,0.0152671756,0.0305343512,0.0076335878,26.2241172791
31183,0.0249023437,0.0566406250,0.9877929688,-0.2519083917,0.0305343512,-0.0687022880,26.2711772919
31404,0.0327148437,0.0292968750,1.0053710938,-0.3206106722,0.1297709942,-0.0076335878,26.2711772919
31624,0.0258789062,0.0380859375,0.9926757813,-0.1832061112,0.1297709942,0.1755725145,26.3182353973
31844,0.0292968750,0.0498046875,0.9912109375,0.0381679386,-0.1297709942,0.0458015278,26.3182353973
32067,0.0322265625,0.0424804687,0.9873046875,-0.0381679386,0.1297709942,-0.0229007639,26.3652935028
32288,0.0302734375,0.0410156250,0.9960937500,-0.0687022880,-0.0229007639,0.0534351133,26.3652935028
32508,0.0664062500,0.0351562500,0.9907226563,0.5038167834,0.3206106722,11.3587789536,26.2711772919
32727,0.0332031250,0.0356445312,0.9975585938,0.0534351133,0.0229007639,0.0839694664,26.3182353973
32950,0.0244140625,0.0273437500,1.0039062500,-0.4045801461,-0.6030534506,-15.7633590698,26.3182353973
33171,0.0068359375,0.0341796875,0.9960937500,0.0610687025,0.0381679386,0.2061068714,26.3182353973
33390,0.0292968750,0.0410156250,0.9946289063,0.1068702266,0.2137404531,1.2061069012,26.3652935028
33610,0.0634765625,0.0273437500,1.0068359375,0.0229007639,0.7862595320,11.8854961395,26.3652935028
33830,0.0283203125,0.0371093750,0.9853515625,-0.1603053361,0.1145038158,0.0076335878,26.4123535156
34051,0.0288085938,0.0400390625,0.9965820313,-0.1450381726,0.1068702266,-0.1603053361,26.3182353973
34274,0.0332031250,0.0434570312,1.0019531250,-0.0152671756,0.1450381726,-0.0076335878,26.3182353973
34493,0.0253906250,0.0424804687,0.9956054688,0.0229007639,0.2290076315,0.9923664331,26.3652935028
34713,0.0493164062,0.0249023437,0.9951171875,0.4503816664,0.7022900581,21.2213745117,26.3652935028
34933,0.0317382812,0.0356445312,0.9931640625,-0.1984732896,0.0381679386,0.2137404531,26.2711772919
35152,0.0454101562,0.0356445312,0.9956054688,0.0000000000,0.1908396930,2.7404580116,26.3182353973
35374,0.0371093750,0.0371093750,0.9931640625,-0.1068702266,0.0992366448,0.9160305262,26.3182353973
